Accident_severity,Number_of_casualties,Time,Day_of_week,Area_accident_occured,Types_of_Junction,Road_allignment,Lanes_or_Medians,Weather_conditions,Light_conditions,Road_surface_conditions,Type_of_collision,Vehicle_movement,Cause_of_accident,Age_band_of_driver,Driving_experience,Sex_of_driver,Type_of_vehicle,Hour,Time_period,severity_score,is_weekend
slight injury,1,1900-01-01 12:25:00,tuesday,other,no junction,tangent road with flat terrain,other,normal,daylight,dry,vehicle with vehicle collision,going straight,no priority to pedestrian,over 51,5-10yr,male,automobile,12,afternoon,1,False
slight injury,1,1900-01-01 12:25:00,tuesday,industrial areas,no junction,tangent road with flat terrain,other,normal,daylight,dry,fall from vehicles,going straight,overspeed,18-30,1-2yr,male,lorry (41?100q),12,afternoon,1,False
slight injury,1,1900-01-01 15:30:00,monday,residential areas,crossing,tangent road with flat terrain,two-way (divided with solid lines road marking),normal,daylight,dry,collision with roadside-parked vehicles,going straight,changing lane to the left,18-30,2-5yr,male,automobile,15,afternoon,1,False
slight injury,1,1900-01-01 18:10:00,thursday,residential areas,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,collision with roadside-parked vehicles,moving backward,no priority to vehicle,18-30,above 10yr,male,automobile,18,evening,1,False
slight injury,1,1900-01-01 15:25:00,thursday,other,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,rollover,reversing,changing lane to the right,18-30,below 1yr,male,lorry (41?100q),15,afternoon,1,False
slight injury,1,1900-01-01 15:25:00,thursday,residential areas,no junction,tangent road with flat terrain,other,normal,daylight,dry,collision with animals,turnover,no distancing,31-50,2-5yr,male,automobile,15,afternoon,1,False
slight injury,1,1900-01-01 13:57:00,saturday,rural village areas,o shape,gentle horizontal curve,undivided two way,normal,daylight,dry,collision with animals,going straight,no priority to pedestrian,over 51,below 1yr,male,automobile,13,afternoon,1,True
slight injury,1,1900-01-01 13:57:00,saturday,rural village areas,o shape,gentle horizontal curve,undivided two way,normal,daylight,dry,fall from vehicles,going straight,no distancing,18-30,5-10yr,male,automobile,13,afternoon,1,True
slight injury,2,1900-01-01 20:30:00,friday,office areas,crossing,tangent road with flat terrain,double carriageway (median),normal,darkness - lights lit,dry,collision with roadside-parked vehicles,going straight,no priority to vehicle,18-30,1-2yr,male,taxi,20,evening,1,False
slight injury,2,1900-01-01 20:30:00,friday,residential areas,crossing,gentle horizontal curve,undivided two way,normal,darkness - lights lit,dry,collision with animals,going straight,other,over 51,below 1yr,male,automobile,20,evening,1,False
slight injury,2,1900-01-01 20:30:00,friday,residential areas,crossing,tangent road with flat terrain,other,normal,darkness - lights lit,dry,collision with animals,going straight,driving carelessly,over 51,5-10yr,male,automobile,20,evening,1,False
slight injury,1,1900-01-01 16:30:00,sunday,outside rural areas,no junction,tangent road with flat terrain,other,normal,daylight,dry,collision with pedestrians,going straight,changing lane to the left,over 51,below 1yr,male,automobile,16,afternoon,1,True
slight injury,1,1900-01-01 16:30:00,sunday,residential areas,no junction,tangent road with flat terrain,other,normal,daylight,dry,vehicle with vehicle collision,going straight,driving carelessly,31-50,below 1yr,male,pick up upto 10q,16,afternoon,1,True
slight injury,2,1900-01-01 21:50:00,sunday,church areas,no junction,tangent road with flat terrain,other,normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,changing lane to the left,31-50,5-10yr,male,automobile,21,evening,1,True
slight injury,2,1900-01-01 21:50:00,sunday,office areas,no junction,tangent road with flat terrain,undivided two way,normal,darkness - lights lit,dry,collision with pedestrians,going straight,no priority to vehicle,18-30,2-5yr,male,automobile,21,evening,1,True
slight injury,1,1900-01-01 09:12:00,wednesday,office areas,y shape,tangent road with mountainous terrain and,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,no distancing,18-30,above 10yr,male,public (12 seats),9,morning,1,False
slight injury,1,1900-01-01 09:12:00,wednesday,office areas,y shape,escarpments,two-way (divided with broken lines road marking),normal,daylight,dry,collision with roadside objects,going straight,changing lane to the right,18-30,above 10yr,male,public (13?45 seats),9,morning,1,False
serious injury,1,1900-01-01 14:40:00,friday,other,y shape,tangent road with mountainous terrain and,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,changing lane to the right,31-50,5-10yr,male,lorry (11?40q),14,afternoon,2,False
slight injury,1,1900-01-01 10:36:00,friday,other,crossing,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,driving at high speed,31-50,1-2yr,male,stationwagen,10,morning,1,False
slight injury,1,1900-01-01 10:36:00,friday,residential areas,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,no distancing,31-50,below 1yr,male,ridden horse,10,morning,1,False
slight injury,1,1900-01-01 18:19:00,monday,other,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,rollover,going straight,changing lane to the right,18-30,below 1yr,male,stationwagen,18,evening,1,False
slight injury,1,1900-01-01 18:19:00,monday,other,crossing,tangent road with mild grade and flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,changing lane to the left,18-30,2-5yr,male,automobile,18,evening,1,False
slight injury,1,1900-01-01 19:12:00,tuesday,other,other,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,getting off the vehicle improperly,18-30,1-2yr,male,automobile,19,evening,1,False
slight injury,1,1900-01-01 19:12:00,tuesday,other,other,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,other,31-50,5-10yr,male,other,19,evening,1,False
slight injury,3,1900-01-01 11:38:00,saturday,other,no junction,tangent road with mild grade and flat terrain,double carriageway (median),normal,daylight,dry,collision with pedestrians,going straight,other,over 51,2-5yr,male,taxi,11,morning,1,True
slight injury,3,1900-01-01 11:38:00,saturday,other,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,no distancing,31-50,5-10yr,male,automobile,11,morning,1,True
slight injury,3,1900-01-01 11:38:00,saturday,church areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with roadside objects,going straight,no priority to vehicle,31-50,above 10yr,male,stationwagen,11,morning,1,True
slight injury,3,1900-01-01 11:38:00,saturday,other,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,overtaking,18-30,5-10yr,male,automobile,11,morning,1,True
slight injury,1,1900-01-01 13:30:00,thursday,industrial areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,rollover,going straight,no priority to pedestrian,18-30,5-10yr,male,public (12 seats),13,afternoon,1,False
slight injury,1,1900-01-01 13:30:00,thursday,residential areas,no junction,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,vehicle with vehicle collision,going straight,no distancing,31-50,5-10yr,male,automobile,13,afternoon,1,False
slight injury,1,1900-01-01 12:39:00,tuesday,other,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),raining,daylight,wet or damp,vehicle with vehicle collision,going straight,changing lane to the right,18-30,above 10yr,male,automobile,12,afternoon,1,False
slight injury,1,1900-01-01 12:39:00,tuesday,office areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),raining,daylight,wet or damp,vehicle with vehicle collision,going straight,driving carelessly,over 51,1-2yr,male,lorry (41?100q),12,afternoon,1,False
slight injury,1,1900-01-01 12:30:00,friday,industrial areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,changing lane to the right,18-30,2-5yr,male,automobile,12,afternoon,1,False
slight injury,1,1900-01-01 12:30:00,friday,industrial areas,y shape,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,vehicle with vehicle collision,going straight,overtaking,31-50,1-2yr,male,public (> 45 seats),12,afternoon,1,False
slight injury,1,1900-01-01 16:55:00,sunday,other,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with roadside objects,going straight,other,31-50,5-10yr,male,automobile,16,afternoon,1,True
slight injury,1,1900-01-01 16:55:00,sunday,hospital areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,driving to the left,31-50,5-10yr,male,public (12 seats),16,afternoon,1,True
slight injury,1,1900-01-01 18:25:00,monday,office areas,no junction,tangent road with flat terrain,one way,normal,daylight,dry,vehicle with vehicle collision,going straight,driving at high speed,18-30,5-10yr,female,public (12 seats),18,evening,1,False
slight injury,1,1900-01-01 18:25:00,monday,church areas,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,collision with roadside objects,going straight,no distancing,31-50,above 10yr,male,automobile,18,evening,1,False
slight injury,1,1900-01-01 13:01:00,thursday,hospital areas,o shape,tangent road with mountainous terrain and,undivided two way,normal,daylight,dry,collision with roadside objects,going straight,changing lane to the right,31-50,2-5yr,male,automobile,13,afternoon,1,False
slight injury,1,1900-01-01 13:01:00,thursday,office areas,o shape,tangent road with flat terrain,other,normal,daylight,dry,vehicle with vehicle collision,going straight,no distancing,18-30,above 10yr,male,automobile,13,afternoon,1,False
slight injury,1,1900-01-01 13:45:00,wednesday,other,no junction,escarpments,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,other,18-30,2-5yr,male,lorry (41?100q),13,afternoon,1,False
slight injury,1,1900-01-01 13:45:00,wednesday,office areas,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,no priority to vehicle,31-50,5-10yr,male,public (12 seats),13,afternoon,1,False
slight injury,1,1900-01-01 18:45:00,monday,office areas,crossing,tangent road with mountainous terrain and,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,vehicle with vehicle collision,reversing,changing lane to the left,18-30,5-10yr,male,lorry (11?40q),18,evening,1,False
slight injury,1,1900-01-01 18:45:00,monday,other,crossing,steep grade downward with mountainous terrain,double carriageway (median),normal,darkness - lights lit,dry,collision with roadside objects,going straight,no priority to pedestrian,31-50,5-10yr,male,automobile,18,evening,1,False
slight injury,4,1900-01-01 11:02:00,thursday,office areas,no junction,tangent road with mild grade and flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,overtaking,31-50,5-10yr,male,automobile,11,morning,1,False
slight injury,4,1900-01-01 11:02:00,thursday,residential areas,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,driving carelessly,31-50,above 10yr,male,automobile,11,morning,1,False
slight injury,4,1900-01-01 11:02:00,thursday,other,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,no priority to vehicle,31-50,below 1yr,male,bajaj,11,morning,1,False
slight injury,4,1900-01-01 11:02:00,thursday,office areas,no junction,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,vehicle with vehicle collision,going straight,no priority to pedestrian,31-50,5-10yr,male,public (12 seats),11,morning,1,False
serious injury,1,1900-01-01 15:55:00,tuesday,office areas,no junction,tangent road with mountainous terrain and,undivided two way,normal,daylight,dry,vehicle with vehicle collision,turnover,changing lane to the right,over 51,1-2yr,male,lorry (11?40q),15,afternoon,2,False
slight injury,1,1900-01-01 15:00:00,wednesday,office areas,no junction,tangent road with flat terrain,other,normal,daylight,dry,vehicle with vehicle collision,going straight,driving carelessly,over 51,5-10yr,male,automobile,15,afternoon,1,False
slight injury,1,1900-01-01 20:00:00,sunday,other,y shape,tangent road with mild grade and flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,collision with roadside objects,going straight,changing lane to the right,31-50,above 10yr,male,automobile,20,evening,1,True
slight injury,1,1900-01-01 20:00:00,sunday,church areas,y shape,tangent road with flat terrain,undivided two way,normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,changing lane to the right,under 18,2-5yr,male,automobile,20,evening,1,True
serious injury,1,1900-01-01 18:48:00,wednesday,industrial areas,crossing,tangent road with flat terrain,undivided two way,normal,darkness - lights lit,wet or damp,collision with pedestrians,going straight,changing lane to the left,31-50,1-2yr,male,lorry (11?40q),18,evening,2,False
serious injury,1,1900-01-01 18:48:00,wednesday,office areas,crossing,tangent road with flat terrain,double carriageway (median),normal,darkness - lights lit,wet or damp,collision with roadside objects,going straight,overturning,31-50,1-2yr,male,lorry (41?100q),18,evening,2,False
slight injury,2,1900-01-01 15:55:00,sunday,church areas,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,collision with roadside objects,going straight,driving carelessly,over 51,2-5yr,male,pick up upto 10q,15,afternoon,1,True
slight injury,2,1900-01-01 15:55:00,sunday,office areas,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,turnover,no distancing,over 51,5-10yr,male,lorry (11?40q),15,afternoon,1,True
slight injury,3,1900-01-01 23:25:00,wednesday,office areas,crossing,tangent road with flat terrain,other,normal,darkness - lights lit,dry,rollover,going straight,driving carelessly,over 51,2-5yr,male,stationwagen,23,evening,1,False
slight injury,3,1900-01-01 23:25:00,wednesday,residential areas,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,changing lane to the left,over 51,1-2yr,male,other,23,evening,1,False
slight injury,3,1900-01-01 23:25:00,wednesday,office areas,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,vehicle with vehicle collision,reversing,no priority to vehicle,31-50,5-10yr,male,other,23,evening,1,False
serious injury,1,1900-01-01 07:40:00,monday,residential areas,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,changing lane to the right,18-30,below 1yr,male,lorry (11?40q),7,morning,2,False
serious injury,1,1900-01-01 07:40:00,monday,office areas,y shape,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,vehicle with vehicle collision,going straight,no distancing,18-30,2-5yr,male,automobile,7,morning,2,False
fatal injury,1,1900-01-01 15:17:00,sunday,office areas,no junction,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,vehicle with vehicle collision,reversing,moving backward,31-50,5-10yr,male,automobile,15,afternoon,3,True
fatal injury,1,1900-01-01 15:17:00,sunday,other,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,moving backward,31-50,above 10yr,male,lorry (41?100q),15,afternoon,3,True
slight injury,1,1900-01-01 15:50:00,monday,other,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,moving backward,no distancing,18-30,2-5yr,male,other,15,afternoon,1,False
slight injury,1,1900-01-01 15:50:00,monday,residential areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,moving backward,no distancing,18-30,above 10yr,male,lorry (41?100q),15,afternoon,1,False
slight injury,1,1900-01-01 09:45:00,sunday,church areas,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with roadside objects,going straight,no distancing,over 51,1-2yr,male,automobile,9,morning,1,True
