Accident_severity,Number_of_casualties,Time,Day_of_week,Area_accident_occured,Types_of_Junction,Road_allignment,Lanes_or_Medians,Weather_conditions,Light_conditions,Road_surface_conditions,Type_of_collision,Vehicle_movement,Cause_of_accident,Age_band_of_driver,Driving_experience,Sex_of_driver,Type_of_vehicle,Hour,Time_period,severity_score,is_weekend
slight injury,1,1900-01-01 09:20:00,wednesday,office areas,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,turnover,moving backward,31-50,2-5yr,male,automobile,9,morning,1,False
slight injury,1,1900-01-01 09:20:00,wednesday,recreational areas,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,collision with roadside objects,moving backward,no distancing,31-50,5-10yr,male,pick up upto 10q,9,morning,1,False
slight injury,1,1900-01-01 11:00:00,wednesday,office areas,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,no distancing,31-50,2-5yr,male,automobile,11,morning,1,False
slight injury,1,1900-01-01 11:00:00,wednesday,other,y shape,tangent road with mild grade and flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,moving backward,no distancing,18-30,1-2yr,male,automobile,11,morning,1,False
slight injury,1,1900-01-01 11:35:00,tuesday,residential areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with roadside objects,going straight,changing lane to the left,18-30,1-2yr,male,public (12 seats),11,morning,1,False
slight injury,1,1900-01-01 11:35:00,tuesday,residential areas,y shape,tangent road with flat terrain,other,normal,daylight,dry,vehicle with vehicle collision,going straight,changing lane to the left,18-30,5-10yr,male,public (13?45 seats),11,morning,1,False
serious injury,1,1900-01-01 12:30:00,tuesday,residential areas,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,moving backward,31-50,5-10yr,male,lorry (11?40q),12,afternoon,2,False
serious injury,1,1900-01-01 12:30:00,tuesday,other,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,collision with roadside objects,going straight,changing lane to the right,18-30,5-10yr,male,stationwagen,12,afternoon,2,False
slight injury,1,1900-01-01 18:35:00,thursday,office areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,collision with roadside objects,going straight,no priority to vehicle,31-50,1-2yr,male,ridden horse,18,evening,1,False
slight injury,1,1900-01-01 18:35:00,thursday,other,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,moving backward,31-50,2-5yr,male,stationwagen,18,evening,1,False
slight injury,1,1900-01-01 16:30:00,saturday,other,no junction,tangent road with flat terrain,other,normal,daylight,dry,vehicle with vehicle collision,going straight,driving carelessly,31-50,above 10yr,male,automobile,16,afternoon,1,True
slight injury,1,1900-01-01 16:30:00,saturday,office areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,driving carelessly,18-30,5-10yr,male,automobile,16,afternoon,1,True
slight injury,1,1900-01-01 21:25:00,saturday,church areas,crossing,tangent road with flat terrain,other,normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,driving under the influence of drugs,31-50,1-2yr,male,other,21,evening,1,True
slight injury,1,1900-01-01 21:25:00,saturday,other,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,no priority to pedestrian,18-30,above 10yr,male,taxi,21,evening,1,True
slight injury,1,1900-01-01 21:20:00,saturday,other,y shape,tangent road with flat terrain,one way,normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,no priority to vehicle,31-50,1-2yr,male,automobile,21,evening,1,True
slight injury,1,1900-01-01 08:43:00,tuesday,office areas,y shape,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,vehicle with vehicle collision,other,driving carelessly,over 51,2-5yr,male,stationwagen,8,morning,1,False
slight injury,1,1900-01-01 16:49:00,tuesday,office areas,y shape,tangent road with mild grade and flat terrain,one way,normal,daylight,dry,vehicle with vehicle collision,other,moving backward,18-30,above 10yr,male,automobile,16,afternoon,1,False
slight injury,1,1900-01-01 16:49:00,tuesday,office areas,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,driving carelessly,18-30,2-5yr,male,public (12 seats),16,afternoon,1,False
slight injury,1,1900-01-01 15:30:00,thursday,office areas,crossing,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,vehicle with vehicle collision,going straight,no priority to vehicle,31-50,5-10yr,male,automobile,15,afternoon,1,False
slight injury,1,1900-01-01 15:30:00,thursday,other,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,getting off,changing lane to the right,18-30,5-10yr,male,automobile,15,afternoon,1,False
slight injury,1,1900-01-01 18:57:00,thursday,office areas,crossing,tangent road with flat terrain,undivided two way,normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,changing lane to the left,18-30,1-2yr,male,lorry (41?100q),18,evening,1,False
slight injury,1,1900-01-01 18:57:00,thursday,other,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,no priority to vehicle,18-30,5-10yr,male,automobile,18,evening,1,False
serious injury,1,1900-01-01 17:00:00,thursday,other,no junction,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,vehicle with vehicle collision,going straight,driving carelessly,18-30,5-10yr,male,public (> 45 seats),17,afternoon,2,False
serious injury,1,1900-01-01 17:00:00,thursday,other,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,moving backward,over 51,1-2yr,male,automobile,17,afternoon,2,False
slight injury,1,1900-01-01 16:50:00,friday,office areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,no distancing,over 51,5-10yr,male,public (12 seats),16,afternoon,1,False
slight injury,1,1900-01-01 16:50:00,friday,office areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,vehicle with vehicle collision,getting off,changing lane to the left,18-30,5-10yr,male,public (12 seats),16,afternoon,1,False
slight injury,1,1900-01-01 08:03:00,monday,office areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,changing lane to the left,31-50,2-5yr,male,automobile,8,morning,1,False
slight injury,1,1900-01-01 08:03:00,monday,office areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with roadside objects,going straight,no distancing,31-50,1-2yr,male,automobile,8,morning,1,False
slight injury,1,1900-01-01 16:40:00,monday,church areas,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,other,changing lane to the left,31-50,5-10yr,male,automobile,16,afternoon,1,False
slight injury,1,1900-01-01 16:40:00,monday,office areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with pedestrians,going straight,driving carelessly,31-50,below 1yr,male,lorry (41?100q),16,afternoon,1,False
slight injury,1,1900-01-01 07:40:00,monday,residential areas,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,changing lane to the left,18-30,5-10yr,male,public (12 seats),7,morning,1,False
slight injury,1,1900-01-01 07:40:00,monday,school areas,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with roadside objects,going straight,no distancing,18-30,5-10yr,male,lorry (11?40q),7,morning,1,False
slight injury,1,1900-01-01 04:46:00,tuesday,office areas,crossing,tangent road with flat terrain,undivided two way,normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,changing lane to the right,under 18,5-10yr,male,automobile,4,night,1,False
slight injury,1,1900-01-01 04:46:00,tuesday,other,crossing,tangent road with flat terrain,undivided two way,normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,no distancing,31-50,5-10yr,male,automobile,4,night,1,False
slight injury,1,1900-01-01 14:19:00,tuesday,other,y shape,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,vehicle with vehicle collision,reversing,driving to the left,31-50,2-5yr,male,automobile,14,afternoon,1,False
slight injury,1,1900-01-01 14:19:00,tuesday,other,y shape,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,vehicle with vehicle collision,other,no distancing,31-50,5-10yr,male,bajaj,14,afternoon,1,False
slight injury,1,1900-01-01 18:15:00,tuesday,other,o shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,overtaking,18-30,above 10yr,male,public (12 seats),18,evening,1,False
slight injury,1,1900-01-01 18:15:00,tuesday,office areas,o shape,tangent road with mild grade and flat terrain,double carriageway (median),normal,daylight,dry,rollover,going straight,driving under the influence of drugs,18-30,below 1yr,male,lorry (11?40q),18,evening,1,False
slight injury,1,1900-01-01 07:50:00,tuesday,office areas,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with roadside objects,going straight,no priority to pedestrian,31-50,5-10yr,male,automobile,7,morning,1,False
slight injury,1,1900-01-01 07:50:00,tuesday,office areas,crossing,tangent road with mild grade and flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,moving backward,18-30,2-5yr,male,public (> 45 seats),7,morning,1,False
slight injury,1,1900-01-01 08:20:00,wednesday,office areas,no junction,tangent road with mild grade and flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with roadside objects,going straight,changing lane to the right,18-30,2-5yr,male,lorry (41?100q),8,morning,1,False
slight injury,1,1900-01-01 08:20:00,wednesday,office areas,no junction,tangent road with flat terrain,one way,normal,daylight,dry,vehicle with vehicle collision,going straight,changing lane to the left,31-50,1-2yr,male,public (> 45 seats),8,morning,1,False
slight injury,1,1900-01-01 15:30:00,wednesday,office areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,changing lane to the right,18-30,2-5yr,male,automobile,15,afternoon,1,False
slight injury,1,1900-01-01 16:47:00,wednesday,office areas,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,driving under the influence of drugs,over 51,2-5yr,male,automobile,16,afternoon,1,False
slight injury,1,1900-01-01 16:47:00,wednesday,other,crossing,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,no priority to vehicle,31-50,above 10yr,male,automobile,16,afternoon,1,False
slight injury,1,1900-01-01 23:50:00,wednesday,other,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,vehicle with vehicle collision,moving backward,no priority to vehicle,18-30,below 1yr,male,automobile,23,evening,1,False
slight injury,1,1900-01-01 14:30:00,wednesday,residential areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with roadside objects,moving backward,changing lane to the left,31-50,2-5yr,male,lorry (41?100q),14,afternoon,1,False
slight injury,1,1900-01-01 08:10:00,friday,other,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,turnover,changing lane to the right,31-50,above 10yr,male,automobile,8,morning,1,False
slight injury,1,1900-01-01 08:10:00,friday,other,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with roadside objects,other,changing lane to the right,18-30,above 10yr,male,public (13?45 seats),8,morning,1,False
slight injury,2,1900-01-01 21:12:00,wednesday,other,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),raining,darkness - lights lit,wet or damp,vehicle with vehicle collision,other,changing lane to the left,over 51,5-10yr,male,automobile,21,evening,1,False
slight injury,2,1900-01-01 21:12:00,wednesday,other,crossing,tangent road with flat terrain,undivided two way,raining,darkness - lights lit,wet or damp,vehicle with vehicle collision,going straight,changing lane to the left,over 51,above 10yr,male,public (> 45 seats),21,evening,1,False
slight injury,2,1900-01-01 21:12:00,wednesday,industrial areas,crossing,tangent road with flat terrain,undivided two way,raining,darkness - lights lit,wet or damp,vehicle with vehicle collision,going straight,getting off the vehicle improperly,18-30,1-2yr,male,lorry (41?100q),21,evening,1,False
slight injury,1,1900-01-01 19:10:00,saturday,industrial areas,crossing,tangent road with flat terrain,undivided two way,normal,darkness - lights lit,dry,vehicle with vehicle collision,other,overtaking,18-30,2-5yr,male,automobile,19,evening,1,True
slight injury,1,1900-01-01 19:10:00,saturday,church areas,crossing,tangent road with flat terrain,double carriageway (median),normal,darkness - lights lit,dry,vehicle with vehicle collision,other,changing lane to the left,18-30,2-5yr,male,lorry (11?40q),19,evening,1,True
slight injury,1,1900-01-01 11:56:00,sunday,other,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,driving under the influence of drugs,18-30,5-10yr,male,public (13?45 seats),11,morning,1,True
slight injury,1,1900-01-01 11:56:00,sunday,other,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,reversing,driving carelessly,over 51,5-10yr,male,public (13?45 seats),11,morning,1,True
slight injury,1,1900-01-01 19:08:00,friday,office areas,no junction,tangent road with flat terrain,undivided two way,normal,darkness - lights lit,dry,vehicle with vehicle collision,other,moving backward,18-30,5-10yr,male,automobile,19,evening,1,False
slight injury,1,1900-01-01 07:14:00,friday,office areas,crossing,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,turnover,no distancing,18-30,above 10yr,male,long lorry,7,morning,1,False
slight injury,1,1900-01-01 07:14:00,friday,residential areas,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,no priority to vehicle,31-50,below 1yr,male,lorry (41?100q),7,morning,1,False
slight injury,1,1900-01-01 14:30:00,friday,industrial areas,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,overturning,18-30,below 1yr,male,lorry (11?40q),14,afternoon,1,False
slight injury,1,1900-01-01 14:30:00,friday,office areas,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,rollover,going straight,changing lane to the left,31-50,above 10yr,male,lorry (41?100q),14,afternoon,1,False
slight injury,1,1900-01-01 07:55:00,monday,other,crossing,tangent road with flat terrain,undivided two way,normal,daylight,dry,collision with roadside objects,going straight,no distancing,18-30,5-10yr,male,public (12 seats),7,morning,1,False
slight injury,1,1900-01-01 07:55:00,monday,other,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,moving backward,18-30,5-10yr,male,automobile,7,morning,1,False
serious injury,1,1900-01-01 13:35:00,monday,residential areas,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,no priority to vehicle,31-50,2-5yr,male,taxi,13,afternoon,2,False
serious injury,1,1900-01-01 13:35:00,monday,office areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with roadside objects,going straight,no priority to vehicle,over 51,2-5yr,male,automobile,13,afternoon,2,False
slight injury,1,1900-01-01 12:37:00,saturday,residential areas,y shape,tangent road with flat terrain,other,normal,daylight,dry,vehicle with vehicle collision,going straight,no distancing,31-50,5-10yr,male,automobile,12,afternoon,1,True
slight injury,1,1900-01-01 11:25:00,friday,office areas,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,no distancing,18-30,2-5yr,male,automobile,11,morning,1,False
slight injury,1,1900-01-01 18:23:00,wednesday,church areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,vehicle with vehicle collision,other,overtaking,31-50,5-10yr,male,lorry (41?100q),18,evening,1,False
slight injury,1,1900-01-01 21:09:00,wednesday,residential areas,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,rollover,going straight,driving under the influence of drugs,31-50,2-5yr,male,automobile,21,evening,1,False
slight injury,1,1900-01-01 21:09:00,wednesday,school areas,crossing,tangent road with flat terrain,other,normal,darkness - lights lit,dry,rollover,going straight,changing lane to the right,18-30,5-10yr,male,automobile,21,evening,1,False
serious injury,1,1900-01-01 15:23:00,wednesday,hospital areas,y shape,steep grade downward with mountainous terrain,other,raining,daylight,wet or damp,collision with pedestrians,moving backward,changing lane to the left,31-50,2-5yr,male,lorry (41?100q),15,afternoon,2,False
serious injury,1,1900-01-01 15:23:00,wednesday,other,y shape,tangent road with flat terrain,undivided two way,raining,daylight,wet or damp,vehicle with vehicle collision,going straight,driving carelessly,31-50,1-2yr,male,automobile,15,afternoon,2,False
serious injury,1,1900-01-01 15:23:00,wednesday,school areas,y shape,tangent road with flat terrain,double carriageway (median),raining,daylight,wet or damp,vehicle with vehicle collision,moving backward,moving backward,over 51,5-10yr,male,automobile,15,afternoon,2,False
slight injury,1,1900-01-01 12:30:00,wednesday,other,no junction,tangent road with flat terrain,other,normal,daylight,dry,vehicle with vehicle collision,other,moving backward,31-50,1-2yr,male,automobile,12,afternoon,1,False
slight injury,1,1900-01-01 12:30:00,wednesday,industrial areas,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,collision with pedestrians,going straight,changing lane to the right,18-30,2-5yr,male,taxi,12,afternoon,1,False
slight injury,1,1900-01-01 17:30:00,tuesday,church areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with pedestrians,reversing,no priority to vehicle,31-50,1-2yr,male,automobile,17,afternoon,1,False
slight injury,1,1900-01-01 17:30:00,tuesday,office areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,driving at high speed,18-30,above 10yr,male,automobile,17,afternoon,1,False
slight injury,1,1900-01-01 03:56:00,sunday,other,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,vehicle with vehicle collision,other,driving under the influence of drugs,31-50,2-5yr,male,automobile,3,night,1,True
slight injury,1,1900-01-01 03:56:00,sunday,office areas,crossing,tangent road with flat terrain,double carriageway (median),normal,darkness - lights lit,dry,vehicle with vehicle collision,other,changing lane to the right,31-50,2-5yr,male,pick up upto 10q,3,night,1,True
slight injury,1,1900-01-01 10:40:00,sunday,office areas,y shape,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,collision with roadside objects,other,driving carelessly,over 51,2-5yr,male,automobile,10,morning,1,True
slight injury,1,1900-01-01 10:40:00,sunday,office areas,y shape,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,vehicle with vehicle collision,stopping,no distancing,31-50,2-5yr,male,automobile,10,morning,1,True
slight injury,1,1900-01-01 18:41:00,thursday,residential areas,crossing,tangent road with flat terrain,double carriageway (median),normal,darkness - lights lit,dry,collision with roadside objects,other,changing lane to the left,31-50,2-5yr,male,public (12 seats),18,evening,1,False
slight injury,1,1900-01-01 18:41:00,thursday,office areas,crossing,tangent road with flat terrain,double carriageway (median),normal,darkness - lights lit,dry,vehicle with vehicle collision,other,no distancing,18-30,2-5yr,male,public (13?45 seats),18,evening,1,False
slight injury,1,1900-01-01 22:10:00,thursday,other,no junction,tangent road with flat terrain,undivided two way,normal,darkness - lights lit,dry,vehicle with vehicle collision,other,no distancing,18-30,5-10yr,male,lorry (11?40q),22,evening,1,False
slight injury,1,1900-01-01 20:41:00,monday,industrial areas,crossing,tangent road with flat terrain,one way,normal,darkness - lights lit,dry,collision with roadside objects,going straight,getting off the vehicle improperly,31-50,2-5yr,male,stationwagen,20,evening,1,False
slight injury,1,1900-01-01 20:41:00,monday,other,crossing,tangent road with flat terrain,one way,normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,overtaking,18-30,above 10yr,male,automobile,20,evening,1,False
serious injury,1,1900-01-01 00:15:00,friday,office areas,no junction,tangent road with flat terrain,double carriageway (median),raining,darkness - lights lit,wet or damp,vehicle with vehicle collision,going straight,driving carelessly,31-50,above 10yr,male,public (> 45 seats),0,night,2,False
serious injury,1,1900-01-01 02:15:00,saturday,office areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,collision with roadside objects,going straight,driving under the influence of drugs,31-50,above 10yr,male,lorry (41?100q),2,night,2,True
slight injury,1,1900-01-01 14:40:00,saturday,other,crossing,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,collision with roadside objects,going straight,moving backward,over 51,5-10yr,male,public (> 45 seats),14,afternoon,1,True
slight injury,1,1900-01-01 14:40:00,saturday,other,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,overturning,31-50,2-5yr,male,automobile,14,afternoon,1,True
slight injury,1,1900-01-01 15:20:00,monday,office areas,no junction,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,vehicle with vehicle collision,going straight,driving under the influence of drugs,18-30,1-2yr,male,automobile,15,afternoon,1,False
slight injury,1,1900-01-01 15:20:00,monday,office areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,changing lane to the right,18-30,2-5yr,male,automobile,15,afternoon,1,False
slight injury,1,1900-01-01 15:20:00,monday,office areas,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,changing lane to the left,over 51,5-10yr,male,automobile,15,afternoon,1,False
slight injury,1,1900-01-01 19:25:00,saturday,other,crossing,tangent road with flat terrain,undivided two way,normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,no distancing,18-30,5-10yr,male,lorry (41?100q),19,evening,1,True
slight injury,1,1900-01-01 19:25:00,saturday,other,crossing,tangent road with flat terrain,undivided two way,normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,no distancing,18-30,5-10yr,male,automobile,19,evening,1,True
slight injury,1,1900-01-01 07:00:00,friday,recreational areas,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,reversing,no priority to vehicle,18-30,above 10yr,male,public (13?45 seats),7,morning,1,False
slight injury,1,1900-01-01 07:00:00,friday,church areas,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,moving backward,18-30,above 10yr,male,automobile,7,morning,1,False
slight injury,1,1900-01-01 11:40:00,tuesday,recreational areas,y shape,tangent road with flat terrain,other,normal,daylight,dry,vehicle with vehicle collision,other,moving backward,18-30,1-2yr,male,public (> 45 seats),11,morning,1,False
slight injury,1,1900-01-01 22:39:00,wednesday,school areas,y shape,tangent road with flat terrain,other,normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,getting off the vehicle improperly,over 51,5-10yr,male,lorry (41?100q),22,evening,1,False
slight injury,1,1900-01-01 19:30:00,tuesday,church areas,y shape,tangent road with flat terrain,double carriageway (median),normal,darkness - lights lit,dry,vehicle with vehicle collision,getting off,changing lane to the left,18-30,2-5yr,male,automobile,19,evening,1,False
slight injury,1,1900-01-01 19:30:00,tuesday,office areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,changing lane to the left,18-30,5-10yr,female,lorry (11?40q),19,evening,1,False
slight injury,1,1900-01-01 12:07:00,tuesday,residential areas,no junction,steep grade downward with mountainous terrain,one way,normal,daylight,dry,vehicle with vehicle collision,going straight,no priority to vehicle,31-50,2-5yr,male,public (13?45 seats),12,afternoon,1,False
slight injury,1,1900-01-01 12:07:00,tuesday,other,no junction,tangent road with flat terrain,one way,normal,daylight,dry,vehicle with vehicle collision,going straight,changing lane to the right,31-50,above 10yr,male,public (13?45 seats),12,afternoon,1,False
slight injury,1,1900-01-01 22:40:00,friday,other,y shape,tangent road with flat terrain,undivided two way,normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,changing lane to the right,18-30,5-10yr,male,automobile,22,evening,1,False
slight injury,1,1900-01-01 22:40:00,friday,industrial areas,y shape,tangent road with flat terrain,one way,normal,darkness - lights lit,dry,vehicle with vehicle collision,turnover,driving carelessly,18-30,5-10yr,male,long lorry,22,evening,1,False
slight injury,1,1900-01-01 16:00:00,sunday,church areas,y shape,steep grade downward with mountainous terrain,other,normal,daylight,dry,vehicle with vehicle collision,entering a junction,changing lane to the left,18-30,1-2yr,male,lorry (41?100q),16,afternoon,1,True
slight injury,1,1900-01-01 16:00:00,sunday,office areas,y shape,tangent road with flat terrain,other,normal,daylight,dry,vehicle with vehicle collision,entering a junction,changing lane to the right,18-30,above 10yr,male,lorry (11?40q),16,afternoon,1,True
slight injury,1,1900-01-01 16:00:00,sunday,office areas,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,collision with roadside objects,entering a junction,driving under the influence of drugs,18-30,5-10yr,female,lorry (41?100q),16,afternoon,1,True
serious injury,1,1900-01-01 20:55:00,sunday,office areas,y shape,tangent road with flat terrain,double carriageway (median),normal,darkness - lights lit,dry,vehicle with vehicle collision,entering a junction,driving carelessly,31-50,2-5yr,male,public (12 seats),20,evening,2,True
slight injury,1,1900-01-01 08:50:00,sunday,other,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with pedestrians,other,no distancing,over 51,2-5yr,male,automobile,8,morning,1,True
slight injury,1,1900-01-01 08:50:00,sunday,office areas,crossing,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,entering a junction,no priority to vehicle,18-30,5-10yr,male,taxi,8,morning,1,True
slight injury,2,1900-01-01 21:41:00,friday,other,y shape,tangent road with flat terrain,double carriageway (median),normal,darkness - lights lit,dry,collision with roadside objects,turnover,no priority to vehicle,18-30,1-2yr,male,automobile,21,evening,1,False
slight injury,2,1900-01-01 21:41:00,friday,industrial areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,vehicle with vehicle collision,entering a junction,no priority to vehicle,18-30,5-10yr,male,automobile,21,evening,1,False
slight injury,2,1900-01-01 21:41:00,friday,residential areas,y shape,tangent road with flat terrain,other,normal,darkness - lights lit,dry,vehicle with vehicle collision,entering a junction,changing lane to the left,18-30,5-10yr,male,automobile,21,evening,1,False
slight injury,1,1900-01-01 11:36:00,friday,other,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,entering a junction,moving backward,31-50,5-10yr,male,lorry (41?100q),11,morning,1,False
slight injury,1,1900-01-01 11:36:00,friday,other,crossing,tangent road with flat terrain,one way,normal,daylight,dry,vehicle with vehicle collision,entering a junction,driving carelessly,18-30,above 10yr,male,automobile,11,morning,1,False
slight injury,1,1900-01-01 14:15:00,friday,other,y shape,tangent road with flat terrain,one way,normal,daylight,dry,vehicle with vehicle collision,entering a junction,driving under the influence of drugs,18-30,2-5yr,male,automobile,14,afternoon,1,False
serious injury,1,1900-01-01 16:30:00,wednesday,other,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,rollover,other,changing lane to the right,18-30,5-10yr,male,lorry (41?100q),16,afternoon,2,False
slight injury,1,1900-01-01 21:23:00,saturday,other,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,wet or damp,collision with roadside objects,going straight,no priority to vehicle,18-30,5-10yr,male,automobile,21,evening,1,True
slight injury,1,1900-01-01 21:23:00,saturday,residential areas,crossing,steep grade downward with mountainous terrain,other,normal,darkness - lights lit,wet or damp,vehicle with vehicle collision,going straight,changing lane to the right,18-30,5-10yr,male,automobile,21,evening,1,True
slight injury,1,1900-01-01 14:58:00,monday,office areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,other,driving to the left,31-50,5-10yr,male,automobile,14,afternoon,1,False
